"","x","y","land","barr","mort","lr","road","N","cost","A"
"59635",-0.207523391651113,1.24180206171114,"ibr42",-0.76394837224559,0.614064454444328,"ibr42_0_50","0_50",0.0232070617469571,"-0.392311171551987",5.41
"59636",-0.207523391651113,1.24180206171114,"ibr42",2.0015922065538,-0.767919455723426,"ibr42_3000_0","3000_0",-0.818661925341339,"-0.392311171551987",4.04
"59637",-0.207523391651113,1.24180206171114,"ibr42",-0.76394837224559,-0.0769275006395489,"ibr42_0_25","0_25",0.0232070617469571,"-0.392311171551987",5.26
"59638",-0.207523391651113,1.24180206171114,"ibr42",0.618821917154106,-0.767919455723426,"ibr42_1500_0","1500_0",-0.67835042749329,"-0.392311171551987",5.13
"59641",-0.207523391651113,1.24180206171114,"ibr45",-0.76394837224559,-0.767919455723426,"ibr45_0_0","0_0",-1.60440631329042,"-0.392311171551987",4.81
"59642",-0.207523391651113,1.24180206171114,"ibr45",-0.76394837224559,1.99604836461208,"ibr45_0_100","0_100",-1.59037516350561,"-0.392311171551987",4.2
"59643",-0.207523391651113,1.24180206171114,"ibr45",-0.76394837224559,0.614064454444328,"ibr45_0_50","0_50",-1.62545303796762,"-0.392311171551987",4.72
"59644",-0.207523391651113,1.24180206171114,"ibr45",-0.76394837224559,1.30505640952821,"ibr45_0_75","0_75",-1.66053091242964,"-0.392311171551987",4.06666666666667
"59645",-0.207523391651113,1.24180206171114,"ibr45",-0.76394837224559,-0.0769275006395489,"ibr45_0_25","0_25",-1.60596532993317,"-0.392311171551987",4.71111111111111
"59647",-0.207523391651113,1.24180206171114,"ibr47",-0.76394837224559,1.30505640952821,"ibr47_0_75","0_75",-0.0679954118542748,"-0.392311171551987",5.53
"59648",-0.207523391651113,1.24180206171114,"ibr47",0.618821917154106,-0.767919455723426,"ibr47_1500_0","1500_0",-0.67835042749329,"-0.392311171551987",5.06
"59649",-0.207523391651113,1.24180206171114,"ibr47",-0.76394837224559,1.99604836461208,"ibr47_0_100","0_100",-0.039933112284665,"-0.392311171551987",5.28
"59650",-0.207523391651113,1.24180206171114,"ibr47",-0.76394837224559,-0.767919455723426,"ibr47_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.4
"59651",-0.207523391651113,1.24180206171114,"ibr47",-0.76394837224559,0.614064454444328,"ibr47_0_50","0_50",0.00216033706974987,"-0.392311171551987",5.49
"59652",-0.207523391651113,1.24180206171114,"ibr47",-0.76394837224559,-0.0769275006395489,"ibr47_0_25","0_25",0.0232070617469571,"-0.392311171551987",5.31
"59653",-0.207523391651113,1.24180206171114,"ibr47",1.31020706185395,-0.767919455723426,"ibr47_2250_0","2250_0",-0.818661925341339,"-0.392311171551987",4.42
"59654",-0.207523391651113,1.24180206171114,"ibr47",-0.0725632275457418,-0.767919455723426,"ibr47_750_0","750_0",-0.327571682873166,"-0.392311171551987",5.56
"59655",-0.207523391651113,1.24180206171114,"ibr47",2.0015922065538,-0.767919455723426,"ibr47_3000_0","3000_0",-0.832693075126144,"-0.392311171551987",3.29
"59656",-0.207523391651113,1.24180206171114,"ibr48",1.31020706185395,-0.767919455723426,"ibr48_2250_0","2250_0",-0.818661925341339,"-0.392311171551987",4.14
"59657",-0.207523391651113,1.24180206171114,"ibr48",-0.76394837224559,1.99604836461208,"ibr48_0_100","0_100",-0.124899519314872,"-0.392311171551987",5.12222222222222
"59658",-0.207523391651113,1.24180206171114,"ibr48",-0.76394837224559,-0.767919455723426,"ibr48_0_0","0_0",-0.0469486871770676,"-0.392311171551987",5.4
"59659",-0.207523391651113,1.24180206171114,"ibr48",-0.0725632275457418,-0.767919455723426,"ibr48_750_0","750_0",-0.327571682873166,"-0.392311171551987",5.1
"59660",-0.207523391651113,1.24180206171114,"ibr48",0.618821917154106,-0.767919455723426,"ibr48_1500_0","1500_0",-0.67835042749329,"-0.392311171551987",4.73
"59661",-0.207523391651113,1.24180206171114,"ibr48",-0.76394837224559,0.614064454444328,"ibr48_0_50","0_50",-0.0469486871770676,"-0.392311171551987",5.33
"59662",-0.207523391651113,1.24180206171114,"ibr48",2.0015922065538,-0.767919455723426,"ibr48_3000_0","3000_0",-0.818661925341339,"-0.392311171551987",3.92
"59663",-0.207523391651113,1.24180206171114,"ibr48",-0.76394837224559,-0.0769275006395489,"ibr48_0_25","0_25",-0.0469486871770676,"-0.392311171551987",5.11
"59664",-0.207523391651113,1.24180206171114,"ibr48",-0.76394837224559,1.30505640952821,"ibr48_0_75","0_75",-0.0679954118542748,"-0.392311171551987",4.93
"59739",-0.11752547695917,-1.26090240208601,"ibr40",-0.76394837224559,-0.0769275006395489,"ibr40_0_25","0_25",0.0232070617469571,"-0.392311171551987",5.3
"59740",-0.11752547695917,-1.26090240208601,"ibr40",1.31020706185395,-0.767919455723426,"ibr40_2250_0","2250_0",-1.09928492103744,"-0.392311171551987",4.46
"59741",-0.11752547695917,-1.26090240208601,"ibr40",-0.76394837224559,0.614064454444328,"ibr40_0_50","0_50",0.0232070617469571,"-0.392311171551987",5.61111111111111
"59742",-0.11752547695917,-1.26090240208601,"ibr40",-0.76394837224559,-0.767919455723426,"ibr40_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.19
"59743",-0.11752547695917,-1.26090240208601,"ibr40",-0.0725632275457418,-0.767919455723426,"ibr40_750_0","750_0",-0.397727431797191,"-0.392311171551987",5.26
"59744",-0.11752547695917,-1.26090240208601,"ibr40",-0.76394837224559,1.99604836461208,"ibr40_0_100","0_100",-0.0188863876074578,"-0.392311171551987",5.43
"59745",-0.11752547695917,-1.26090240208601,"ibr40",-0.76394837224559,1.30505640952821,"ibr40_0_75","0_75",-0.0235634375357284,"-0.392311171551987",5.41111111111111
"59746",-0.11752547695917,-1.26090240208601,"ibr40",0.618821917154106,-0.767919455723426,"ibr40_1500_0","1500_0",-0.818661925341339,"-0.392311171551987",5.02
"59747",-0.11752547695917,-1.26090240208601,"ibr40",2.0015922065538,-0.767919455723426,"ibr40_3000_0","3000_0",-1.16944066996146,"-0.392311171551987",3.16
"59751",-0.11752547695917,-1.26090240208601,"ibr44",0.618821917154106,-0.767919455723426,"ibr44_1500_0","1500_0",-0.846724224910949,"-0.392311171551987",4.88
"59752",-0.11752547695917,-1.26090240208601,"ibr44",1.31020706185395,-0.767919455723426,"ibr44_2250_0","2250_0",-1.09928492103744,"-0.392311171551987",4.04
"59753",-0.11752547695917,-1.26090240208601,"ibr44",-0.0725632275457418,-0.767919455723426,"ibr44_750_0","750_0",-0.397727431797191,"-0.392311171551987",5.06
"59754",-0.11752547695917,-1.26090240208601,"ibr44",2.0015922065538,-0.767919455723426,"ibr44_3000_0","3000_0",-1.16944066996146,"-0.392311171551987",2.96
"59755",-0.11752547695917,-1.26090240208601,"ibr44",-0.76394837224559,1.99604836461208,"ibr44_0_100","0_100",-0.608194678569265,"-0.392311171551987",4.7
"59756",-0.11752547695917,-1.26090240208601,"ibr44",-0.76394837224559,-0.0769275006395489,"ibr44_0_25","0_25",0.0232070617469571,"-0.392311171551987",5.26
"59757",-0.11752547695917,-1.26090240208601,"ibr44",-0.76394837224559,-0.767919455723426,"ibr44_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.1
"59758",-0.11752547695917,-1.26090240208601,"ibr44",-0.76394837224559,1.30505640952821,"ibr44_0_75","0_75",-0.0369264373307811,"-0.392311171551987",5.11428571428571
"59759",-0.11752547695917,-1.26090240208601,"ibr44",-0.76394837224559,0.614064454444328,"ibr44_0_50","0_50",0.0232070617469571,"-0.392311171551987",4.95555555555556
"59760",-0.11752547695917,-1.26090240208601,"ibr45",-0.76394837224559,-0.767919455723426,"ibr45_0_0","0_0",-0.397727431797191,"2.54858029460427",5.36
"59761",-0.11752547695917,-1.26090240208601,"ibr45",-0.76394837224559,0.614064454444328,"ibr45_0_50","0_50",-0.397727431797191,"2.54858029460427",5.34
"59762",-0.11752547695917,-1.26090240208601,"ibr45",-0.76394837224559,1.99604836461208,"ibr45_0_100","0_100",-0.397727431797191,"2.54858029460427",5.38
"59763",-0.11752547695917,-1.26090240208601,"ibr45",-0.0725632275457418,-0.767919455723426,"ibr45_750_0","750_0",-0.755521751309717,"2.54858029460427",5.34
"59764",-0.11752547695917,-1.26090240208601,"ibr45",-0.76394837224559,-0.0769275006395489,"ibr45_0_25","0_25",-0.397727431797191,"2.54858029460427",5.33
"59765",-0.11752547695917,-1.26090240208601,"ibr45",-0.76394837224559,1.30505640952821,"ibr45_0_75","0_75",-0.413317598224751,"2.54858029460427",5.48888888888889
"59766",-0.11752547695917,-1.26090240208601,"ibr45",2.0015922065538,-0.767919455723426,"ibr45_3000_0","3000_0",-1.45006366565756,"2.54858029460427",3.23
"59767",-0.11752547695917,-1.26090240208601,"ibr45",1.31020706185395,-0.767919455723426,"ibr45_2250_0","2250_0",-1.38692349162594,"2.54858029460427",4.29
"59768",-0.11752547695917,-1.26090240208601,"ibr45",0.618821917154106,-0.767919455723426,"ibr45_1500_0","1500_0",-1.16944066996146,"2.54858029460427",4.77
"59769",-0.11752547695917,-1.26090240208601,"ibr46",-0.76394837224559,0.614064454444328,"ibr46_0_50","0_50",-1.45785874887134,"2.54858029460427",4.61111111111111
"59770",-0.11752547695917,-1.26090240208601,"ibr46",-0.76394837224559,1.99604836461208,"ibr46_0_100","0_100",-1.50268047735058,"2.54858029460427",4.3
"59771",-0.11752547695917,-1.26090240208601,"ibr46",-0.0725632275457418,-0.767919455723426,"ibr46_750_0","750_0",-1.59037516350561,"2.54858029460427",4.47
"59772",-0.11752547695917,-1.26090240208601,"ibr46",-0.76394837224559,1.30505640952821,"ibr46_0_75","0_75",-1.50017491488901,"2.54858029460427",4.55714285714286
"59773",-0.11752547695917,-1.26090240208601,"ibr46",-0.76394837224559,-0.767919455723426,"ibr46_0_0","0_0",-1.46409481544237,"2.54858029460427",4.54
"59774",-0.11752547695917,-1.26090240208601,"ibr46",-0.76394837224559,-0.0769275006395489,"ibr46_0_25","0_25",-1.45006366565756,"2.54858029460427",4.8
